This file is an ordered list of 16bit choices for two additional miller-rabin
bases to use in conjunction with bases 2 and 15, for doing primality testing of
a 64 bit value.
The list is sorted by how many 64 bit values are strong pseudoprimes to all
four of the following bases: base[0]=2, base[1]=15,
base[2]=column1_base_number, and base[3]=column2_base_number.

The roughly 15000 listed base combinations are the best out of the exhaustive
list of all possible combinations of two 16bit base values (approximately 2
billion combinations all evaluated).

total pseudoprimes   base number   base number
------------------   -----------   -----------
10575  925    28717
10575  28717  55500
10578  13875  28717
10578  14800  28717
10581  3700   28717
10582  28717  59200
10610  17908  49972
10612  4477   49972
10615  637    62197
10615  12493  17908
10616  10192  62197
10618  2548   62197
10618  4477   12493
10618  51597  62197
10620  40768  62197
10622  33813  48951
10627  27195  51597
10634  19573  28717
10635  19573  36517
10654  45253  62197
10659  15925  16317
10661  21853  62197
10661  36517  62197
10666  16317  63700
10667  15925  65268
10667  28717  56277
10668  13875  15925
10669  15925  55500
10672  13875  22932
10672  42237  62197
10673  63700  65268
10675  925    5733
10675  5733   13875
10675  15925  40293
10675  22932  55500
10676  5733   55500
10676  15925  53428
10676  53428  63700
10677  11988  42237
10677  13357  15925
10677  13357  63700
10677  55500  63700
10678  925    22932
10678  3700   5733
10678  5733   14800
10678  5733   59200
10678  13875  63700
10679  925    15925
10679  33813  40293
10680  3700   15925
10680  3700   22932
10680  17908  43732
10680  22932  59200
10680  40293  63700
10681  2997   42237
10681  14800  22932
10681  42237  47952
10683  2548   53428
10683  15925  59200
10684  925    63700
10684  4477   43732
10684  10933  17908
10684  14800  15925
10684  40768  53428
10685  2548   13357
10686  3757   4477
10686  4477   60112
10686  13357  40768
10686  42237  44955
10687  1813   51597
10687  3700   63700
10687  4477   10933
10687  10192  53428
10687  15028  27195
10688  637    53428
10688  10192  13357
10688  11988  58357
10689  637    13357
10689  832    53078
10689  29008  51597
10689  59200  63700
10690  52     53078
10690  3757   17908
10690  3757   27195
10690  4477   15028
10690  13312  53078
10690  14800  63700
10690  15925  26973
10690  17908  60112
10690  27195  60112
10690  28717  62197
10692  7252   51597
10692  11700  53078
10693  918    21853
10693  2997   58357
10693  5733   17908
10693  15028  17908
10693  22932  62197
10693  26973  63700
10693  47952  58357
10694  13     53078
10694  3328   53078
10694  5733   62197
10694  9555   62197
10694  19573  49972
10695  12493  19573
10695  14688  21853
10695  19573  42237
10695  61893  62197
10696  208    53078
10696  53078  53248
10696  62197  63700
10697  1525   12493
10697  2925   53078
10697  6100   12493
10697  17908  22932
10697  38220  62197
10698  2548   17908
10698  10933  62197
10698  15925  62197
10698  43732  62197
10698  46800  53078
10699  637    26714
10699  1525   49972
10699  2548   26714
10699  3672   21853
10699  5733   40293
10699  6100   49972
10699  10192  26714
10699  12493  24400
10699  17908  40768
10699  21853  58752
10700  4477   5733
10700  26714  40768
10701  1300   62197
10701  20800  62197
10701  24400  49972
10702  325    62197
10702  22932  40293
10703  925    60112
10703  4477   22932
10703  48373  58201
10703  48373  62197
10704  925    15028
10704  2548   4477
10704  14800  60112
10704  24037  31117
10705  637    17908
10705  925    3757
10705  4477   40768
10705  10192  17908
10705  14800  15028
10705  35557  45253
10705  59200  60112
10706  962    65533
10706  3700   60112
10706  3757   14800
10706  15028  59200
10706  15392  65533
10707  3700   15028
10707  3757   59200
10707  28717  40293
10708  3700   3757
10708  13875  33813
10708  19573  21853
10709  5200   62197
10709  11988  28717
10711  637    4477
10711  2997   28717
10711  4477   10192
10711  19573  61893
10711  22932  57720
10712  28717  47952
10714  3848   65533
10714  5733   57720
10714  14430  22932
10714  21853  55500
10714  33813  55500
10714  61568  65533
10716  7215   22932
10716  18759  60112
10717  5733   14430
10717  7215   65533
10717  15028  18759
10718  3757   18759
10718  15925  31117
10718  21853  45325
10718  27750  36517
10718  36517  55500
10719  13875  36517
10719  49972  62197
10720  27195  63700
10720  28860  65533
10720  31117  63700
10721  5733   7215
10721  13875  21853
10721  15925  27195
10721  21853  35557
10722  12493  62197
10723  925    21853
10723  3996   15925
10723  35964  48373
10724  325    19573
10724  1300   19573
10724  3996   63700
10724  15925  19573
10724  15925  63936
10725  1813   15028
10725  7252   15028
10725  15028  55500
10725  39325  40293
10725  55500  60112
10725  63700  63936
10726  1872   56277
10726  3757   55500
10726  5200   19573
10726  14800  21853
10727  999    15925
10727  999    63700
10727  3700   21853
10727  15028  29008
10727  15925  15984
10727  15984  63700
10727  19573  20800
10727  22932  28860
10727  51597  56277
10728  117    56277
10728  3592   26325
10728  13875  15028
10728  13875  60112
10728  15925  17908
10728  22932  45325
10728  23125  24037
10728  29952  56277
10729  925    56355
10729  1813   3757
10729  3757   7252
10729  3757   13875
10729  15392  48373
10729  21853  59200
10729  24037  40293
10729  40293  51597
10729  56355  59200
10730  1813   60112
10730  3700   56355
10730  7252   60112
10730  8991   48373
10730  14800  56355
10730  26973  54925
10730  48373  65268
10731  637    7696
10731  962    48373
10731  1924   22932
10731  3757   29008
10731  5733   28860
10731  7488   56277
10731  26325  57472
10731  27750  28717
10731  48373  61568
10732  468    56277
10732  1924   5733
10732  2548   7696
10732  2548   9335
10732  7696   10192
10732  14157  62197
10732  19573  63700
10732  22932  30784
10732  29008  60112
10732  56628  62197
10733  637    30784
10733  2548   37340
10733  3848   48373
10733  5733   7696
10733  5733   30784
10733  7696   22932
10733  17908  63700
10733  45750  49972
10733  49972  58201
10734  637    1924
10734  1573   40293
10734  2548   30784
