This file is an ordered list of all 16bit choices for a miller-rabin base to use
in conjunction with base 2, when doing primality testing of a 64 bit value.
The list is sorted by how many 64 bit values are strong pseudoprimes to both of
the following bases: base[0]=2 and base[1]=the_listed_base_number.

total pseudoprimes   base number
------------------   -----------
1147253  9375
1147294  37500
1147613  4860
1147659  1215
1147691  19440
1147873  61440
1147873  52215
1147878  240
1147891  60
1147893  960
1147894  3840
1147895  15360
1147899  15
1147929  1815
1147946  29040
1148021  7260
1148053  39015
1148211  63375
1148309  36015
1148410  17340
1148482  4335
1148616  65340
1148644  48735
1148693  16335
1148856  33135
1148954  14415
1148993  57660
1149041  135
1149043  2160
1149049  34560
1149104  8640
1149143  540
1149161  5415
1149189  45375
1149248  21660
1149296  31740
1149323  7935
1149353  42135
1149372  55815
1149426  2940
1149427  47040
1149505  11760
1149508  735
1149599  20535
1149678  30375
1149751  26460
1149782  50460
1149829  6615
1149895  12615
1149931  27735
1150081  6000
1150093  375
1150120  59535
1150152  24000
1150177  1500
1150216  22815
1150258  18375
1150342  25215
1150382  10935
1150392  43740
1150479  2535
1150485  40560
1150517  10140
1229245  61893
1229348  21853
1229378  33813
1229682  14157
1229719  56628
1229809  58357
1230055  45253
1230170  36517
1230177  46800
1230182  11700
1230194  2925
1230391  26325
1230404  15925
1230491  48373
1230528  63700
1230538  60112
1230585  3757
1230596  15028
1230627  468
1230658  117
1230661  29952
1230674  1872
1230674  7488
1230701  42237
1230763  54925
1230786  24037
1230830  17797
1230958  51597
1231279  1053
1231298  16848
1231311  4693
1231344  9477
1231361  4212
1231374  37908
1231380  22932
1231396  5733
1231419  18772
1231476  43732
1231537  10933
1231656  19773
1231710  6292
1231717  25168
1231744  1573
1231757  32500
1231790  8125
1231798  637
1231816  2548
1231824  10192
1231835  28717
1231840  40768
1231923  65533
1231954  6877
1231969  27508
1232004  53248
1232008  13312
1232009  208
1232020  52
1232021  13
1232026  3328
1232030  832
1232055  31213
1232404  12493
1232415  1300
1232423  49972
1232434  20800
1232441  5200
1232445  325
1233307  39325
1274686  43706
1276099  28314
1276239  48074
1276440  52650
1276446  35594
1276508  5850
1276555  31850
1276613  23400
1276847  9386
1276869  14976
1276874  936
1276974  234
1276983  59904
1276985  3744
1277022  37544
1277070  8424
1277133  33696
1277147  2106
1277357  3146
1277357  12584
1277372  50336
1277386  39546
1277426  104
1277428  21866
1277436  26624
1277464  1664
1277467  11466
1277471  30056
1277483  45864
1277484  7514
1277504  26
1277505  6656
1277538  416
1277541  57434
1277582  16250
1277656  65000
1277666  18954
1277759  62426
1277766  24986
1278029  650
1278051  10400
1278089  41600
1278092  2600
1278256  55016
1278274  13754
1279430  5096
1279512  1274
1279524  20384
1280595  26973
1280711  62197
1280723  56277
1280871  19573
1281189  592
1281214  148
1281226  37888
1281228  37
1281230  9472
