This file is an ordered list of 16bit choices for a miller-rabin base to use in
conjunction with bases 2 and 15, for doing primality testing of a 64 bit value.
The list is sorted by how many 64 bit values are strong pseudoprimes to all
three of the following bases: base[0]=2, base[1]=15, and
base[2]=the_listed_base_number.
The first 1000 sorted (best) 16bit choices are shown, rather than all 65536.

total pseudoprimes   base number
------------------   -----------
96678  15925
96707  63700
96725  37908
96744  9477
96760  33813
96785  45253
96802  49972
96805  12493
96826  3757
96828  60112
96834  15028
96849  24037
96849  36517
96887  54925
96914  65533
96927  52
96928  13312
96928  832
96936  22932
96942  40768
96945  19773
96947  2548
96947  637
96952  10192
96953  5733
96956  11700
96958  53248
96958  208
96960  3328
96960  13
96966  46800
96966  2925
96971  21853
97013  27508
97015  6877
97038  26325
97053  1872
97054  29952
97057  117
97065  468
97073  7488
97080  20800
97083  1300
97084  5200
97086  325
97105  43732
97108  8125
97113  32500
97119  10933
97131  51597
97150  58357
97153  4693
97160  18772
97169  6292
97173  28717
97183  25168
97187  1573
97217  61893
97227  48373
97228  14157
97238  56628
97247  17797
97323  42237
97449  39325
97465  31213
97493  4212
97506  1053
97511  16848
97511  56355
97653  12480
97656  780
97664  195
97664  3120
97664  43875
97667  49920
97776  9555
97777  28080
97777  1755
97778  38220
97784  7020
97816  19500
97833  4875
97896  23595
98038  63180
98057  15795
100040  12636
100044  3159
100050  50544
100175  32799
100274  17199
100298  24375
100310  24986
100315  47775
100330  31850
100332  13754
100336  3510
100341  56160
100345  14040
100350  55016
100366  42471
100406  6240
100408  24960
100411  390
100411  1560
100418  30056
100420  7514
100491  35100
100495  19110
100509  8775
100512  624
100520  39
100521  9984
100523  2496
100530  39936
100532  156
100548  351
100548  5616
100555  1404
100558  22464
100561  9750
100563  39000
100563  3900
100565  62400
100568  21866
100573  15600
100574  975
100578  48074
100587  47190
100589  45864
100601  11466
100656  18954
100685  6591
100694  26364
100707  14079
100707  9386
100709  52650
100710  56316
100711  43706
100716  57434
100728  37544
100739  18876
100741  4719
100743  936
100745  14976
100747  12584
100749  3744
100755  59904
100756  3146
100756  234
100760  50336
100766  1664
100766  104
100767  26624
100770  26
100770  416
100772  6656
100779  23400
100781  35594
100787  62426
100791  5850
100816  16250
100818  65000
100835  39546
100865  28314
100883  20384
100896  5096
100897  1274
100968  11271
100968  45084
100976  10400
100982  650
100990  2600
100994  28431
100999  20631
100999  41600
101034  7644
101043  30576
101045  1911
101131  37479
101143  31590
101169  8424
101196  2106
101200  33696
101342  53391
101429  47385
101441  12740
101458  3185
101461  50960
101462  6500
101466  26000
101467  1625
101524  18785
101528  34385
101546  5265
101552  585
101552  21060
101562  9360
101576  2340
101576  37440
101615  54665
101618  7865
101621  31460
101756  62197
101761  4160
101762  260
101767  16640
101768  65
101772  14625
101776  1040
101783  23465
101791  43940
101792  925
101795  58500
101800  3700
101804  59200
101805  10985
101807  14800
101817  40625
101898  62465
101979  13875
101985  55500
101990  4477
101994  17908
102003  33300
102014  56277
102019  592
102022  37
102024  2368
102025  148
102026  9472
102026  37888
102027  8325
102044  11988
102044  47952
102050  2997
102088  29008
102089  1813
102118  7252
102167  40293
102175  35557
102185  13357
102189  53428
102203  21312
102204  28665
102211  1332
102217  27195
102221  26973
102223  333
102228  5328
102259  19573
102266  44955
102272  23125
102339  31117
102389  65268
102396  35520
102397  16317
102402  2220
102430  555
102432  8880
102452  19980
102470  4995
102520  10693
102525  42772
102536  25012
102547  6253
102596  27750
102597  45325
102686  1850
102692  7400
102693  29600
102721  32079
102740  22021
102822  32269
102958  17629
103016  18759
103028  37570
103047  2989
103048  47824
103054  11956
103086  4941
103086  19764
103088  53946
103101  44835
103108  1184
103115  5994
103116  18944
103116  74
103117  23976
103120  1525
103124  4736
103125  24400
103126  296
103136  54390
103137  42624
103143  666
103144  10656
103144  6100
103146  2664
103159  16650
103163  53724
103164  13431
103188  32634
103188  39960
103208  9990
103224  58016
103226  14504
103229  46250
103229  3626
103236  13000
103243  52000
103245  3250
103266  17760
103267  4440
103267  1110
103279  35136
103285  2196
103290  29524
103291  549
103295  8784
103302  7381
103307  36260
103307  8954
103317  15400
103317  22875
103317  5544
103319  22176
103325  1386
103325  26714
103326  35816
103328  15730
103331  62920
103332  44469
